id,name
1,洋服のサイズ
2,メンズ靴のサイズ
3,レディース靴のサイズ
4,スカートのサイズ
5,キッズ服のサイズ
6,ベビー・キッズ靴のサイズ
7,ベビー服のサイズ
8,テレビのサイズ
9,カメラレンズのサイズ
10,オートバイのサイズ
11,ヘルメットのサイズ
12,タイヤのサイズ
13,スキーのサイズ
14,スノーボードのサイズ
